"je-d-01.04.02.00.01",,"Ständige Wohnbevölkerung nach Kantonen gemäss dem ""mittleren"" Szenario AR-00-2010, 2010-2035 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
"St. Gallen",17,"476,374  ","477,380  ","478,706  ","480,360  ","482,432  ","484,758  ","487,260  ","489,742  ","491,932  ","493,798  ","495,520  ","497,121  ","498,701  ","500,204  ","501,723  ","503,111  ","504,411  ","505,593  ","506,668  ","507,589  ","508,431  ","509,148  ","509,802  ","510,330  ","510,831  ","511,207  "
"Graubünden",18,"192,570  ","193,209  ","193,710  ","194,024  ","194,150  ","194,336  ","194,577  ","194,898  ","195,216  ","195,519  ","195,815  ","196,115  ","196,414  ","196,697  ","196,950  ","197,189  ","197,408  ","197,611  ","197,782  ","197,919  ","198,047  ","198,145  ","198,207  ","198,243  ","198,248  ","198,251  "
"Aargau",19,"607,848  ","615,153  ","622,407  ","629,051  ","635,238  ","641,319  ","647,320  ","653,312  ","659,082  ","664,662  ","670,042  ","675,210  ","680,174  ","684,897  ","689,427  ","693,726  ","697,810  ","701,675  ","705,308  ","708,723  ","711,936  ","714,944  ","717,732  ","720,332  ","722,737  ","724,948  "
"Thurgau",20,"247,633  ","250,470  ","253,515  ","256,241  ","258,663  ","260,965  ","263,154  ","265,277  ","267,311  ","269,220  ","271,020  ","272,735  ","274,350  ","275,867  ","277,283  ","278,596  ","279,818  ","280,936  ","281,941  ","282,856  ","283,694  ","284,440  ","285,090  ","285,685  ","286,227  ","286,713  "
"Tessin",21,"338,306  ","340,830  ","343,572  ","345,787  ","347,542  ","349,084  ","350,512  ","351,920  ","353,209  ","354,372  ","355,477  ","356,479  ","357,424  ","358,320  ","359,166  ","359,931  ","360,668  ","361,326  ","361,976  ","362,574  ","363,135  ","363,646  ","364,134  ","364,590  ","364,998  ","365,365  "
"Waadt",22,"712,664  ","724,280  ","737,059  ","748,085  ","757,620  ","766,559  ","775,183  ","783,724  ","791,715  ","799,355  ","806,634  ","813,631  ","820,313  ","826,678  ","832,717  ","838,456  ","843,912  ","849,109  ","854,010  ","858,701  ","863,131  ","867,337  ","871,334  ","875,087  ","878,687  ","882,132  "
"Wallis",23,"310,764  ","313,657  ","316,532  ","318,757  ","320,541  ","322,211  ","323,856  ","325,591  ","327,297  ","328,976  ","330,616  ","332,156  ","333,624  ","334,946  ","336,156  ","337,239  ","338,235  ","339,123  ","339,922  ","340,620  ","341,236  ","341,753  ","342,197  ","342,577  ","342,877  ","343,126  "
"Neuenburg",24,"171,803  ","171,924  ","172,212  ","172,356  ","172,397  ","172,497  ","172,680  ","172,978  ","173,283  ","173,620  ","173,963  ","174,311  ","174,625  ","174,881  ","175,117  ","175,296  ","175,462  ","175,607  ","175,737  ","175,867  ","175,990  ","176,102  ","176,229  ","176,381  ","176,527  ","176,646  "
"Genf",25,"458,299  ","463,738  ","470,332  ","475,705  ","480,060  ","484,052  ","487,873  ","491,796  ","495,399  ","498,823  ","502,095  ","505,249  ","508,268  ","511,178  ","513,979  ","516,675  ","519,297  ","521,879  ","524,409  ","526,932  ","529,423  ","531,911  ","534,390  ","536,849  ","539,287  ","541,729  "
"Jura",26,"70,220  ","70,292  ","70,480  ","70,646  ","70,833  ","71,005  ","71,190  ","71,377  ","71,536  ","71,656  ","71,776  ","71,872  ","71,950  ","72,022  ","72,068  ","72,116  ","72,147  ","72,176  ","72,198  ","72,199  ","72,183  ","72,150  ","72,125  ","72,072  ","72,018  ","71,959  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Quelle: KANTONALE SZENARIEN 2010-2035",,,,,,,,,,,,,,,,,,,,,,,,,
,,"Auskunft: Informationszentrum, Sektion Demografie und Migration, 032 713 67 11, info.dem@bfs.admin.ch",,,,,,,,,,,,,,,,,,,,,,,,,
,,"© BFS",,,,,,,,,,,,,,,,,,,,,,,,,
